label,context_name,pubmed_results
SOS1,CML,"2020-04-23 17:26:51, SOS1 CML, 1"
SOX10,melanoma,"2020-04-23 17:26:51, SOX10 melanoma, 233"
SOX10,skin,"2020-04-23 17:26:52, SOX10 skin, 294"
SPDEF,HER2_amp,"2020-04-23 17:26:52, SPDEF HER2 amp, 0"
SPI1,AML,"2020-04-23 17:26:53, SPI1 AML, 19"
STAT3,t_cell_ALCL,"2020-04-23 17:26:53, STAT3 T cell ALCL, 29"
STAT5B,blast_crisis,"2020-04-23 17:26:54, STAT5B blast crisis, 3"
STAT5B,CML,"2020-04-23 17:26:54, STAT5B CML, 20"
TBXT,chordoma,"2020-04-23 17:26:54, TBXT chordoma, 4"
TCF3,multiple_myeloma,"2020-04-23 17:26:55, TCF3 multiple myeloma, 1"
TCF3,plasma_cell,"2020-04-23 17:26:55, TCF3 plasma cell, 11"
TCF7L2,colorectal,"2020-04-23 17:26:56, TCF7L2 colorectal, 174"
TCF7L2,colorectal_adenocarcinoma,"2020-04-23 17:26:56, TCF7L2 colorectal adenocarcinoma, 16"
TRIM8,bone,"2020-04-23 17:26:57, TRIM8 bone, 0"
TRIM8,Ewing_sarcoma,"2020-04-23 17:26:57, TRIM8 Ewing sarcoma, 0"
TRIM8,EWS_FLI,"2020-04-23 17:26:58, TRIM8 EWS FLI, 0"
TRPS1,ERpos_HER2neg,"2020-04-23 17:26:58, TRPS1 ER+ HER2-, 2"
TRPS1,luminal,"2020-04-23 17:26:59, TRPS1 luminal, 7"
